what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1330448319558
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1330448320085
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448323182
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448323386
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448334097
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448338847
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1330448339062
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1330448339406
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1330448339407
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448371491
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448693905
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448749311
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448752844
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448770894
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448774099
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448804388
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448806705
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448812260
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448822494
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448825179
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448828099
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448833403
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448839848
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448844274
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448847215
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448850552
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448861060
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448915614
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448919336
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1330448923479
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1330448972150
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330448985351
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449083516
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1330449088644
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1330449088908
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1330449091221
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449113057
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449113372
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1330449207767
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449211088
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449239418
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1330449239506
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1330449239591
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449243346
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449257757
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449267305
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449268338
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449268842
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449273706
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449275625
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449282834
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449311478
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449329047
deactivated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449347500
activated,workbench,org.eclipse.ui.workbench,3.102.0.v20110825-1422,"",1330449354998
